"Gene","Log_fold_Change","P_Value"
"ENSG00000243955",-2.98606080904213,0.02982751927587
"ENSG00000095917",-3.06495544184077,0.032008682166548
"ENSG00000231107",-2.39064084497138,0.0359113676739662
"ENSG00000254092",-2.61980424993346,0.016611092322735
"ENSG00000172236",-3.0025377228019,0.0270955053654152
"ENSG00000197253",-2.87220606640757,0.0252998751085168
"ENSG00000172116",-2.75084066910077,0.0487977091305039
"ENSG00000162598",-2.71850868945865,0.0170232740306519
"ENSG00000256193",-2.70756095559742,0.0413213097471562
"ENSG00000160183",-2.57818699998434,0.0454186023234642
